"","num","cc","subversion","HR","IR","GE","PR","WI"
"217","5","SN",2,"SNHR5AFL.DTA","SNIR5AFL.DTA","SNGE5AFL.shp","SNPR5AFL.DTA",NA
"218","5","ST",1,"STHR51FL.DTA","STIR51FL.DTA",NA,"STPR51FL.DTA",NA
"219","5","SZ",1,"szhr51fl.dta","szir51fl.dta","SZGE53FL.shp","SZPR52FL.DTA",NA
"220","5","TR",1,"TRHR51FL.DTA","TRIR51FL.DTA",NA,"TRPR51FL.DTA",NA
"221","5","TZ",1,"TZHR51FL.DTA","TZIR51FL.DTA","TZGE52FL.shp","TZPR51FL.DTA",NA
"222","5","UA",1,"UAHR51FL.DTA","UAIR51FL.DTA",NA,"UAPR51FL.DTA",NA
"223","5","UG",1,"UGHR52FL.DTA","UGIR52FL.DTA","UGGE53FL.shp","UGPR52FL.DTA",NA
"224","5","UG",2,"UGHR5AFL.DTA","UGIR5AFL.DTA","UGGE5AFL.shp","UGPR5AFL.DTA",NA
"225","5","VN",1,"VNHR52FL.DTA","VNIR52FL.DTA",NA,"VNPR53FL.DTA",NA
"226","5","ZM",1,"ZMHR51FL.DTA","ZMIR51FL.DTA","ZMGE52FL.shp","ZMPR51FL.DTA",NA
"227","5","ZW",1,"ZWHR52FL.DTA","ZWIR52FL.DTA","ZWGE52FL.shp","ZWPR52FL.DTA",NA
"228","6","AM",1,"AMHR61FL.DTA","AMIR61FL.DTA","AMGE61FL.shp","AMPR61FL.DTA",NA
"229","6","AO",1,"AOHR62FL.DTA","AOIR62FL.DTA","AOGE61FL.shp","AOPR62FL.DTA",NA
"230","6","BD",1,"BDHR61FL.DTA","BDIR61FL.DTA","BDGE61FL.shp","BDPR61FL.DTA",NA
"231","6","BF",1,"BFHR62FL.DTA","BFIR62FL.DTA","BFGE61FL.shp","BFPR62FL.DTA",NA
"232","6","BJ",1,"BJHR61FL.DTA","BJIR61FL.DTA","BJGE61FL.shp","BJPR61FL.DTA",NA
"233","6","BU",1,"BUHR61FL.DTA","BUIR61FL.DTA","BUGE61FL.shp","BUPR61FL.DTA",NA
"234","6","BU",2,"BUHR6AFL.DTA","BUIR6AFL.DTA","BUGE6AFL.shp","BUPR6AFL.DTA",NA
"235","6","CD",1,"CDHR61FL.DTA","CDIR61FL.DTA","CDGE61FL.shp","CDPR61FL.DTA",NA
"236","6","CG",1,"CGHR61FL.DTA","CGIR61FL.DTA",NA,"CGPR61FL.DTA",NA
"237","6","CI",1,"CIHR62FL.DTA","CIIR62FL.DTA","CIGE61FL.shp","CIPR62FL.DTA",NA
"238","6","CM",1,"CMHR61FL.DTA","CMIR61FL.DTA","CMGE61FL.shp","CMPR61FL.DTA",NA
"239","6","CO",1,"COHR61FL.DTA","COIR61FL.DTA","COGE61FL.shp","COPR61FL.DTA",NA
